Trial,P1,P2,Winner,Ply,P1AvgMS,P2AvgMS
6,Expansion+InfectionPressurex35+Mat100,Expansion+Mat90,2,200,11.352,33.598
7,Expansion+Mat90,Expansion+InfectionPressurex35+Mat100,1,71,30.250,28.517
8,Expansion+InfectionPressurex35+Mat100,Expansion+Mat90,2,200,11.423,34.119
9,Expansion+Mat90,Expansion+InfectionPressurex35+Mat100,1,71,30.490,28.744
10,Expansion+InfectionPressurex35+Mat100,Expansion+Mat90,2,200,11.191,33.852
1,Expansion+Mat110,Expansion+Mat130,1,71,30.584,23.000
2,Expansion+Mat130,Expansion+Mat110,1,71,30.585,22.721
3,Expansion+Mat110,Expansion+Mat130,1,71,30.562,22.716
4,Expansion+Mat130,Expansion+Mat110,1,71,30.731,22.780
5,Expansion+Mat110,Expansion+Mat130,1,71,30.387,22.558
6,Expansion+Mat130,Expansion+Mat110,1,71,30.400,22.763
7,Expansion+Mat110,Expansion+Mat130,1,71,30.235,22.692
8,Expansion+Mat130,Expansion+Mat110,1,71,30.610,22.603
9,Expansion+Mat110,Expansion+Mat130,1,71,30.522,22.621
10,Expansion+Mat130,Expansion+Mat110,1,71,30.608,22.870
1,Expansion+Mat110,Expansion+Mat150,1,71,30.914,23.133
2,Expansion+Mat150,Expansion+Mat110,1,71,30.339,22.844
3,Expansion+Mat110,Expansion+Mat150,1,71,30.205,22.684
4,Expansion+Mat150,Expansion+Mat110,1,71,30.452,22.900
5,Expansion+Mat110,Expansion+Mat150,1,71,30.456,22.570
6,Expansion+Mat150,Expansion+Mat110,1,71,30.383,22.591
7,Expansion+Mat110,Expansion+Mat150,1,71,30.572,22.702
8,Expansion+Mat150,Expansion+Mat110,1,71,30.365,22.881
9,Expansion+Mat110,Expansion+Mat150,1,71,30.608,22.677
10,Expansion+Mat150,Expansion+Mat110,1,71,30.755,22.851
1,Expansion+Mat110,Expansion+InfectionPressurex20,1,65,16.980,18.631
2,Expansion+InfectionPressurex20,Expansion+Mat110,1,200,30.177,6.708
3,Expansion+Mat110,Expansion+InfectionPressurex20,1,65,16.674,18.405
4,Expansion+InfectionPressurex20,Expansion+Mat110,1,200,30.252,6.719
5,Expansion+Mat110,Expansion+InfectionPressurex20,1,65,17.073,18.686
6,Expansion+InfectionPressurex20,Expansion+Mat110,1,200,29.882,6.707
7,Expansion+Mat110,Expansion+InfectionPressurex20,1,65,16.737,18.829
8,Expansion+InfectionPressurex20,Expansion+Mat110,1,200,30.133,6.696
9,Expansion+Mat110,Expansion+InfectionPressurex20,1,65,16.658,18.441
10,Expansion+InfectionPressurex20,Expansion+Mat110,1,200,30.048,6.739
1,Expansion+Mat110,Expansion+InfectionPressurex35,1,65,16.823,17.395
2,Expansion+InfectionPressurex35,Expansion+Mat110,1,200,30.511,6.650
3,Expansion+Mat110,Expansion+InfectionPressurex35,1,65,16.968,17.611
4,Expansion+InfectionPressurex35,Expansion+Mat110,1,200,29.863,6.609
5,Expansion+Mat110,Expansion+InfectionPressurex35,1,65,17.034,18.092
6,Expansion+InfectionPressurex35,Expansion+Mat110,1,200,30.433,6.717
