Trial,P1,P2,Winner,Ply,P1AvgMS,P2AvgMS
6,Expansion+Mat80,Material,1,200,30.219,2.954
7,Material,Expansion+Mat80,1,200,8.614,3.721
8,Expansion+Mat80,Material,1,200,30.213,3.071
9,Material,Expansion+Mat80,1,200,8.576,3.674
10,Expansion+Mat80,Material,1,200,30.420,3.199
1,Material,Expansion+Mat120,1,200,8.766,3.805
2,Expansion+Mat120,Material,1,200,28.871,2.862
3,Material,Expansion+Mat120,1,200,8.621,3.819
4,Expansion+Mat120,Material,1,200,29.016,2.900
5,Material,Expansion+Mat120,1,200,8.351,3.594
6,Expansion+Mat120,Material,1,200,29.295,2.881
7,Material,Expansion+Mat120,1,200,8.395,3.565
8,Expansion+Mat120,Material,1,200,29.543,2.988
9,Material,Expansion+Mat120,1,200,8.426,3.648
10,Expansion+Mat120,Material,1,200,29.228,3.198
1,Material,Material+Mat80,2,62,17.057,13.902
2,Material+Mat80,Material,2,62,16.984,13.433
3,Material,Material+Mat80,2,62,17.102,13.940
4,Material+Mat80,Material,2,62,16.852,13.377
5,Material,Material+Mat80,2,62,17.004,13.797
6,Material+Mat80,Material,2,62,17.014,13.440
7,Material,Material+Mat80,2,62,16.833,13.601
8,Material+Mat80,Material,2,62,17.399,13.768
9,Material,Material+Mat80,2,62,16.677,13.561
10,Material+Mat80,Material,2,62,17.316,13.468
1,Material,Material+Mat120,2,62,16.927,13.757
2,Material+Mat120,Material,2,62,17.058,13.542
3,Material,Material+Mat120,2,62,17.063,13.793
4,Material+Mat120,Material,2,62,16.967,13.356
5,Material,Material+Mat120,2,62,17.409,13.981
6,Material+Mat120,Material,2,62,16.931,13.501
7,Material,Material+Mat120,2,62,16.944,13.891
8,Material+Mat120,Material,2,62,17.204,13.598
9,Material,Material+Mat120,2,62,17.004,13.872
10,Material+Mat120,Material,2,62,17.082,13.794
1,Hybrid+Mat80,Hybrid+Mat120,1,65,25.176,22.596
2,Hybrid+Mat120,Hybrid+Mat80,1,200,26.339,6.261
3,Hybrid+Mat80,Hybrid+Mat120,1,65,25.572,22.538
4,Hybrid+Mat120,Hybrid+Mat80,1,200,26.654,6.393
5,Hybrid+Mat80,Hybrid+Mat120,1,65,25.083,22.516
6,Hybrid+Mat120,Hybrid+Mat80,1,200,26.425,6.226
7,Hybrid+Mat80,Hybrid+Mat120,1,65,25.437,22.538
8,Hybrid+Mat120,Hybrid+Mat80,1,200,26.398,6.258
9,Hybrid+Mat80,Hybrid+Mat120,1,65,25.687,22.437
10,Hybrid+Mat120,Hybrid+Mat80,1,200,26.473,6.240
1,Hybrid+Mat80,Expansion+Mat80,1,200,26.247,6.593
2,Expansion+Mat80,Hybrid+Mat80,1,57,18.203,15.915
3,Hybrid+Mat80,Expansion+Mat80,1,200,25.916,6.697
4,Expansion+Mat80,Hybrid+Mat80,1,57,18.376,16.216
5,Hybrid+Mat80,Expansion+Mat80,1,200,26.341,6.657
6,Expansion+Mat80,Hybrid+Mat80,1,57,18.032,15.555
7,Hybrid+Mat80,Expansion+Mat80,1,200,26.528,6.550
8,Expansion+Mat80,Hybrid+Mat80,1,57,18.118,15.523
9,Hybrid+Mat80,Expansion+Mat80,1,200,26.395,6.646
10,Expansion+Mat80,Hybrid+Mat80,1,57,18.199,15.598
1,Hybrid+Mat80,Expansion+Mat120,1,200,26.521,7.160
2,Expansion+Mat120,Hybrid+Mat80,1,57,18.130,15.612
3,Hybrid+Mat80,Expansion+Mat120,1,200,26.015,7.028
4,Expansion+Mat120,Hybrid+Mat80,1,57,18.017,15.486
5,Hybrid+Mat80,Expansion+Mat120,1,200,26.716,6.779
6,Expansion+Mat120,Hybrid+Mat80,1,57,18.403,15.564
7,Hybrid+Mat80,Expansion+Mat120,1,200,25.890,6.804
8,Expansion+Mat120,Hybrid+Mat80,1,57,18.611,16.580
9,Hybrid+Mat80,Expansion+Mat120,1,200,27.250,6.943
10,Expansion+Mat120,Hybrid+Mat80,1,57,18.776,16.546
1,Hybrid+Mat80,Material+Mat80,2,60,14.475,9.552
2,Material+Mat80,Hybrid+Mat80,1,200,5.395,7.123
3,Hybrid+Mat80,Material+Mat80,2,60,14.404,9.508
4,Material+Mat80,Hybrid+Mat80,1,200,5.351,7.184
5,Hybrid+Mat80,Material+Mat80,2,60,14.357,9.424
6,Material+Mat80,Hybrid+Mat80,1,200,5.625,7.309
7,Hybrid+Mat80,Material+Mat80,2,60,14.581,9.556
8,Material+Mat80,Hybrid+Mat80,1,200,5.366,7.053
9,Hybrid+Mat80,Material+Mat80,2,60,15.297,9.754
10,Material+Mat80,Hybrid+Mat80,1,200,5.478,7.192
1,Hybrid+Mat80,Material+Mat120,2,60,14.527,9.884
2,Material+Mat120,Hybrid+Mat80,1,200,5.437,7.127
3,Hybrid+Mat80,Material+Mat120,2,60,14.830,9.732
4,Material+Mat120,Hybrid+Mat80,1,200,5.310,7.008
5,Hybrid+Mat80,Material+Mat120,2,60,14.554,9.575
6,Material+Mat120,Hybrid+Mat80,1,200,5.397,7.063
7,Hybrid+Mat80,Material+Mat120,2,60,14.469,9.434
8,Material+Mat120,Hybrid+Mat80,1,200,5.351,7.042
9,Hybrid+Mat80,Material+Mat120,2,60,14.596,9.697
10,Material+Mat120,Hybrid+Mat80,1,200,5.363,7.197
1,Hybrid+Mat120,Expansion+Mat80,1,200,26.226,6.584
2,Expansion+Mat80,Hybrid+Mat120,1,63,17.771,13.700
3,Hybrid+Mat120,Expansion+Mat80,1,200,26.019,6.620
4,Expansion+Mat80,Hybrid+Mat120,1,63,17.728,13.854
5,Hybrid+Mat120,Expansion+Mat80,1,200,25.962,6.677
6,Expansion+Mat80,Hybrid+Mat120,1,63,17.763,13.783
7,Hybrid+Mat120,Expansion+Mat80,1,200,26.355,6.598
8,Expansion+Mat80,Hybrid+Mat120,1,63,17.773,13.900
9,Hybrid+Mat120,Expansion+Mat80,1,200,26.422,6.621
10,Expansion+Mat80,Hybrid+Mat120,1,63,17.808,13.960
1,Hybrid+Mat120,Expansion+Mat120,1,200,26.120,6.839
2,Expansion+Mat120,Hybrid+Mat120,1,63,18.296,13.909
3,Hybrid+Mat120,Expansion+Mat120,1,200,25.613,6.820
4,Expansion+Mat120,Hybrid+Mat120,1,63,18.003,14.033
5,Hybrid+Mat120,Expansion+Mat120,1,200,26.042,6.889
6,Expansion+Mat120,Hybrid+Mat120,1,63,17.775,13.796
7,Hybrid+Mat120,Expansion+Mat120,1,200,25.898,6.825
8,Expansion+Mat120,Hybrid+Mat120,1,63,17.725,13.650
9,Hybrid+Mat120,Expansion+Mat120,1,200,25.984,6.861
10,Expansion+Mat120,Hybrid+Mat120,1,63,17.779,13.611
1,Hybrid+Mat120,Material+Mat80,2,60,14.555,9.749
2,Material+Mat80,Hybrid+Mat120,1,200,5.299,7.026
3,Hybrid+Mat120,Material+Mat80,2,60,14.778,9.693
4,Material+Mat80,Hybrid+Mat120,1,200,5.284,7.045
5,Hybrid+Mat120,Material+Mat80,2,60,14.324,9.449
6,Material+Mat80,Hybrid+Mat120,1,200,5.361,7.242
7,Hybrid+Mat120,Material+Mat80,2,60,14.279,9.440
8,Material+Mat80,Hybrid+Mat120,1,200,5.318,7.099
9,Hybrid+Mat120,Material+Mat80,2,60,14.451,9.496
10,Material+Mat80,Hybrid+Mat120,1,200,5.327,7.114
1,Hybrid+Mat120,Material+Mat120,2,60,14.449,9.490
2,Material+Mat120,Hybrid+Mat120,1,200,5.431,7.147
3,Hybrid+Mat120,Material+Mat120,2,60,14.262,9.387
4,Material+Mat120,Hybrid+Mat120,1,200,5.386,7.268
5,Hybrid+Mat120,Material+Mat120,2,60,14.282,9.404
6,Material+Mat120,Hybrid+Mat120,1,200,5.391,7.177
7,Hybrid+Mat120,Material+Mat120,2,60,14.310,9.391
8,Material+Mat120,Hybrid+Mat120,1,200,5.388,7.155
9,Hybrid+Mat120,Material+Mat120,2,60,14.573,9.738
10,Material+Mat120,Hybrid+Mat120,1,200,5.519,7.329
1,Expansion+Mat80,Expansion+Mat120,1,71,30.785,23.299
2,Expansion+Mat120,Expansion+Mat80,1,71,30.852,23.555
3,Expansion+Mat80,Expansion+Mat120,1,71,30.865,23.053
4,Expansion+Mat120,Expansion+Mat80,1,71,30.573,23.766
5,Expansion+Mat80,Expansion+Mat120,1,71,30.591,22.975
6,Expansion+Mat120,Expansion+Mat80,1,71,30.772,23.613
7,Expansion+Mat80,Expansion+Mat120,1,71,30.622,22.949
8,Expansion+Mat120,Expansion+Mat80,1,71,31.223,23.459
9,Expansion+Mat80,Expansion+Mat120,1,71,30.561,22.743
10,Expansion+Mat120,Expansion+Mat80,1,71,30.919,23.781
1,Expansion+Mat80,Material+Mat80,1,200,30.159,2.984
2,Material+Mat80,Expansion+Mat80,1,200,8.823,3.688
3,Expansion+Mat80,Material+Mat80,1,200,29.484,2.905
4,Material+Mat80,Expansion+Mat80,1,200,8.538,3.589
