Trial,P1,P2,Winner,Ply,P1AvgMS,P2AvgMS
1,Hybrid+Mat80,Material+Mat40,1,59,12.776,8.010
2,Material+Mat40,Hybrid+Mat80,1,67,13.528,27.903
3,Hybrid+Mat80,Material+Mat40,1,59,12.655,7.890
4,Material+Mat40,Hybrid+Mat80,1,67,13.539,27.903
5,Hybrid+Mat80,Material+Mat40,1,59,12.711,7.986
6,Material+Mat40,Hybrid+Mat80,1,67,13.434,27.798
7,Hybrid+Mat80,Material+Mat40,1,59,12.758,7.929
8,Material+Mat40,Hybrid+Mat80,1,67,13.623,28.106
9,Hybrid+Mat80,Material+Mat40,1,59,12.683,7.937
10,Material+Mat40,Hybrid+Mat80,1,67,13.479,27.837
1,Hybrid+Mat80,Material+Mat80,1,59,12.697,8.014
2,Material+Mat80,Hybrid+Mat80,1,67,13.564,28.098
3,Hybrid+Mat80,Material+Mat80,1,59,12.737,7.925
4,Material+Mat80,Hybrid+Mat80,1,67,13.669,28.114
5,Hybrid+Mat80,Material+Mat80,1,59,12.786,7.945
6,Material+Mat80,Hybrid+Mat80,1,67,13.458,27.896
7,Hybrid+Mat80,Material+Mat80,1,59,12.750,7.992
8,Material+Mat80,Hybrid+Mat80,1,67,13.490,28.132
9,Hybrid+Mat80,Material+Mat80,1,59,12.759,7.978
10,Material+Mat80,Hybrid+Mat80,1,67,13.438,27.830
1,Hybrid+Mat80,Material+Mat120,1,59,12.798,8.016
2,Material+Mat120,Hybrid+Mat80,1,67,13.438,27.838
3,Hybrid+Mat80,Material+Mat120,1,59,12.796,7.976
4,Material+Mat120,Hybrid+Mat80,1,67,13.506,27.915
5,Hybrid+Mat80,Material+Mat120,1,59,12.688,7.909
6,Material+Mat120,Hybrid+Mat80,1,67,13.494,27.950
7,Hybrid+Mat80,Material+Mat120,1,59,12.737,7.917
8,Material+Mat120,Hybrid+Mat80,1,67,13.703,28.147
9,Hybrid+Mat80,Material+Mat120,1,59,12.667,7.900
10,Material+Mat120,Hybrid+Mat80,1,67,13.475,27.919
1,Hybrid+Mat120,Material+Mat40,2,60,13.764,9.094
2,Material+Mat40,Hybrid+Mat120,1,200,5.158,6.748
3,Hybrid+Mat120,Material+Mat40,2,60,13.641,9.059
4,Material+Mat40,Hybrid+Mat120,1,200,5.123,6.712
5,Hybrid+Mat120,Material+Mat40,2,60,13.664,9.055
6,Material+Mat40,Hybrid+Mat120,1,200,5.106,6.700
7,Hybrid+Mat120,Material+Mat40,2,60,13.656,9.070
8,Material+Mat40,Hybrid+Mat120,1,200,5.267,6.931
9,Hybrid+Mat120,Material+Mat40,2,60,13.766,9.108
10,Material+Mat40,Hybrid+Mat120,1,200,5.163,6.765
1,Hybrid+Mat120,Material+Mat80,2,60,13.770,9.102
2,Material+Mat80,Hybrid+Mat120,1,200,5.118,6.711
3,Hybrid+Mat120,Material+Mat80,2,60,13.730,9.154
4,Material+Mat80,Hybrid+Mat120,1,200,5.111,6.718
5,Hybrid+Mat120,Material+Mat80,2,60,13.740,9.080
6,Material+Mat80,Hybrid+Mat120,1,200,5.119,6.709
7,Hybrid+Mat120,Material+Mat80,2,60,13.697,9.123
8,Material+Mat80,Hybrid+Mat120,1,200,5.138,6.748
9,Hybrid+Mat120,Material+Mat80,2,60,13.656,9.079
10,Material+Mat80,Hybrid+Mat120,1,200,5.113,6.719
