Trial,P1,P2,Winner,Ply,P1AvgMS,P2AvgMS
5,PotentialConversion,Hybrid+Mat50,2,200,5.286,22.370
6,Hybrid+Mat50,PotentialConversion,1,69,16.748,9.952
7,PotentialConversion,Hybrid+Mat50,2,200,5.332,22.401
8,Hybrid+Mat50,PotentialConversion,1,69,16.780,9.970
9,PotentialConversion,Hybrid+Mat50,2,200,5.343,22.324
10,Hybrid+Mat50,PotentialConversion,1,69,16.785,9.942
1,PotentialConversion,Hybrid+Mat60,2,200,5.299,22.505
2,Hybrid+Mat60,PotentialConversion,1,59,12.318,8.858
3,PotentialConversion,Hybrid+Mat60,2,200,5.417,22.632
4,Hybrid+Mat60,PotentialConversion,1,59,12.405,8.937
5,PotentialConversion,Hybrid+Mat60,2,200,5.322,22.464
6,Hybrid+Mat60,PotentialConversion,1,59,12.337,8.874
7,PotentialConversion,Hybrid+Mat60,2,200,5.329,22.557
8,Hybrid+Mat60,PotentialConversion,1,59,12.456,8.951
9,PotentialConversion,Hybrid+Mat60,2,200,5.432,22.605
10,Hybrid+Mat60,PotentialConversion,1,59,12.508,9.002
1,Hybrid+Mat20,Hybrid+Mat30,1,53,21.706,24.006
2,Hybrid+Mat30,Hybrid+Mat20,2,200,4.874,16.279
3,Hybrid+Mat20,Hybrid+Mat30,1,53,21.762,24.120
4,Hybrid+Mat30,Hybrid+Mat20,2,200,4.899,16.335
5,Hybrid+Mat20,Hybrid+Mat30,1,53,21.596,24.047
6,Hybrid+Mat30,Hybrid+Mat20,2,200,5.033,16.564
7,Hybrid+Mat20,Hybrid+Mat30,1,53,21.727,24.137
8,Hybrid+Mat30,Hybrid+Mat20,2,200,4.891,16.369
9,Hybrid+Mat20,Hybrid+Mat30,1,53,22.039,24.417
10,Hybrid+Mat30,Hybrid+Mat20,2,200,4.980,16.323
1,Hybrid+Mat20,Hybrid+Mat40,2,63,23.425,16.793
2,Hybrid+Mat40,Hybrid+Mat20,1,67,24.460,23.133
3,Hybrid+Mat20,Hybrid+Mat40,2,63,23.243,16.512
4,Hybrid+Mat40,Hybrid+Mat20,1,67,24.494,23.118
5,Hybrid+Mat20,Hybrid+Mat40,2,63,23.184,16.522
6,Hybrid+Mat40,Hybrid+Mat20,1,67,24.573,23.288
7,Hybrid+Mat20,Hybrid+Mat40,2,63,23.077,16.473
8,Hybrid+Mat40,Hybrid+Mat20,1,67,24.411,23.207
9,Hybrid+Mat20,Hybrid+Mat40,2,63,23.274,16.708
10,Hybrid+Mat40,Hybrid+Mat20,1,67,24.552,23.222
1,Hybrid+Mat20,Hybrid+Mat50,2,63,23.124,16.513
2,Hybrid+Mat50,Hybrid+Mat20,1,67,24.430,23.652
3,Hybrid+Mat20,Hybrid+Mat50,2,63,23.035,16.478
4,Hybrid+Mat50,Hybrid+Mat20,1,67,24.165,23.240
5,Hybrid+Mat20,Hybrid+Mat50,2,63,23.025,16.525
6,Hybrid+Mat50,Hybrid+Mat20,1,67,23.874,23.112
7,Hybrid+Mat20,Hybrid+Mat50,2,63,23.109,16.574
8,Hybrid+Mat50,Hybrid+Mat20,1,67,24.054,23.243
9,Hybrid+Mat20,Hybrid+Mat50,2,63,22.986,16.480
10,Hybrid+Mat50,Hybrid+Mat20,1,67,24.356,23.433
1,Hybrid+Mat20,Hybrid+Mat60,1,67,22.572,16.397
2,Hybrid+Mat60,Hybrid+Mat20,1,65,22.059,19.256
3,Hybrid+Mat20,Hybrid+Mat60,1,67,22.307,16.173
4,Hybrid+Mat60,Hybrid+Mat20,1,65,20.911,18.384
5,Hybrid+Mat20,Hybrid+Mat60,1,67,22.423,16.178
6,Hybrid+Mat60,Hybrid+Mat20,1,65,21.087,18.476
7,Hybrid+Mat20,Hybrid+Mat60,1,67,23.079,16.709
8,Hybrid+Mat60,Hybrid+Mat20,1,65,21.720,19.046
9,Hybrid+Mat20,Hybrid+Mat60,1,67,23.988,17.301
10,Hybrid+Mat60,Hybrid+Mat20,1,65,21.753,19.096
1,Hybrid+Mat30,Hybrid+Mat40,2,60,17.129,14.792
2,Hybrid+Mat40,Hybrid+Mat30,1,57,22.039,15.970
3,Hybrid+Mat30,Hybrid+Mat40,2,60,17.356,15.031
4,Hybrid+Mat40,Hybrid+Mat30,1,57,22.395,16.090
5,Hybrid+Mat30,Hybrid+Mat40,2,60,16.469,14.111
6,Hybrid+Mat40,Hybrid+Mat30,1,57,21.697,15.571
7,Hybrid+Mat30,Hybrid+Mat40,2,60,16.417,14.088
8,Hybrid+Mat40,Hybrid+Mat30,1,57,22.624,16.208
9,Hybrid+Mat30,Hybrid+Mat40,2,60,17.557,15.142
10,Hybrid+Mat40,Hybrid+Mat30,1,57,22.543,16.228
1,Hybrid+Mat30,Hybrid+Mat50,2,56,18.774,15.525
2,Hybrid+Mat50,Hybrid+Mat30,1,57,22.585,16.313
3,Hybrid+Mat30,Hybrid+Mat50,2,56,19.209,15.817
4,Hybrid+Mat50,Hybrid+Mat30,1,57,22.085,15.992
5,Hybrid+Mat30,Hybrid+Mat50,2,56,17.792,14.850
6,Hybrid+Mat50,Hybrid+Mat30,1,57,21.401,15.565
7,Hybrid+Mat30,Hybrid+Mat50,2,56,17.534,14.771
8,Hybrid+Mat50,Hybrid+Mat30,1,57,21.182,15.375
9,Hybrid+Mat30,Hybrid+Mat50,2,56,17.635,14.705
10,Hybrid+Mat50,Hybrid+Mat30,1,57,21.081,15.352
1,Hybrid+Mat30,Hybrid+Mat60,2,56,17.649,14.472
2,Hybrid+Mat60,Hybrid+Mat30,1,57,20.969,15.235
3,Hybrid+Mat30,Hybrid+Mat60,2,56,17.672,14.377
4,Hybrid+Mat60,Hybrid+Mat30,1,57,20.819,15.369
5,Hybrid+Mat30,Hybrid+Mat60,2,56,17.558,14.225
6,Hybrid+Mat60,Hybrid+Mat30,1,57,20.854,15.443
7,Hybrid+Mat30,Hybrid+Mat60,2,56,17.532,14.296
8,Hybrid+Mat60,Hybrid+Mat30,1,57,20.840,15.284
9,Hybrid+Mat30,Hybrid+Mat60,2,56,17.493,14.256
10,Hybrid+Mat60,Hybrid+Mat30,1,57,20.819,15.359
1,Hybrid+Mat40,Hybrid+Mat50,1,57,21.755,15.591
2,Hybrid+Mat50,Hybrid+Mat40,1,57,22.480,16.228
3,Hybrid+Mat40,Hybrid+Mat50,1,57,22.964,16.603
4,Hybrid+Mat50,Hybrid+Mat40,1,57,21.489,15.876
5,Hybrid+Mat40,Hybrid+Mat50,1,57,21.516,15.607
6,Hybrid+Mat50,Hybrid+Mat40,1,57,21.202,15.401
7,Hybrid+Mat40,Hybrid+Mat50,1,57,21.603,15.564
8,Hybrid+Mat50,Hybrid+Mat40,1,57,21.330,15.485
9,Hybrid+Mat40,Hybrid+Mat50,1,57,21.506,15.622
10,Hybrid+Mat50,Hybrid+Mat40,1,57,21.166,15.500
1,Hybrid+Mat40,Hybrid+Mat60,1,57,21.384,15.734
2,Hybrid+Mat60,Hybrid+Mat40,1,57,21.771,16.425
3,Hybrid+Mat40,Hybrid+Mat60,1,57,21.633,15.954
4,Hybrid+Mat60,Hybrid+Mat40,1,57,20.791,15.459
5,Hybrid+Mat40,Hybrid+Mat60,1,57,21.431,15.846
6,Hybrid+Mat60,Hybrid+Mat40,1,57,20.728,15.410
7,Hybrid+Mat40,Hybrid+Mat60,1,57,21.390,15.744
8,Hybrid+Mat60,Hybrid+Mat40,1,57,21.106,15.718
9,Hybrid+Mat40,Hybrid+Mat60,1,57,21.827,16.087
10,Hybrid+Mat60,Hybrid+Mat40,1,57,20.979,15.640
1,Hybrid+Mat50,Hybrid+Mat60,1,57,21.488,15.885
2,Hybrid+Mat60,Hybrid+Mat50,1,57,20.815,15.510
3,Hybrid+Mat50,Hybrid+Mat60,1,57,21.091,15.793
4,Hybrid+Mat60,Hybrid+Mat50,1,57,21.180,15.924
5,Hybrid+Mat50,Hybrid+Mat60,1,57,21.219,15.767
6,Hybrid+Mat60,Hybrid+Mat50,1,57,20.663,15.415
7,Hybrid+Mat50,Hybrid+Mat60,1,57,21.080,15.631
8,Hybrid+Mat60,Hybrid+Mat50,1,57,20.665,15.510
9,Hybrid+Mat50,Hybrid+Mat60,1,57,21.088,15.723
10,Hybrid+Mat60,Hybrid+Mat50,1,57,20.730,15.414
