Trial,P1,P2,Winner,Ply,P1AvgMS,P2AvgMS
8,Material,Hybrid,2,200,5.131,24.026
9,Hybrid,Material,1,69,17.808,9.082
10,Material,Hybrid,2,200,5.228,23.962
1,Hybrid,Expansion+Mat120+Mat100,2,60,26.441,20.188
2,Expansion+Mat120+Mat100,Hybrid,1,63,22.158,17.400
3,Hybrid,Expansion+Mat120+Mat100,2,60,26.209,20.014
4,Expansion+Mat120+Mat100,Hybrid,1,63,22.408,17.465
5,Hybrid,Expansion+Mat120+Mat100,2,60,26.476,20.467
6,Expansion+Mat120+Mat100,Hybrid,1,63,21.857,17.205
7,Hybrid,Expansion+Mat120+Mat100,2,60,26.697,20.128
8,Expansion+Mat120+Mat100,Hybrid,1,63,22.152,17.642
9,Hybrid,Expansion+Mat120+Mat100,2,60,26.414,20.033
10,Expansion+Mat120+Mat100,Hybrid,1,63,22.171,17.359
1,Hybrid,Expansion+Mat80+Mat100,2,60,26.346,20.227
2,Expansion+Mat80+Mat100,Hybrid,1,63,22.176,17.586
3,Hybrid,Expansion+Mat80+Mat100,2,60,26.785,20.088
4,Expansion+Mat80+Mat100,Hybrid,1,63,21.894,17.184
5,Hybrid,Expansion+Mat80+Mat100,2,60,26.857,20.541
6,Expansion+Mat80+Mat100,Hybrid,1,63,22.948,18.103
7,Hybrid,Expansion+Mat80+Mat100,2,60,26.881,20.549
8,Expansion+Mat80+Mat100,Hybrid,1,63,22.774,17.969
9,Hybrid,Expansion+Mat80+Mat100,2,60,26.445,20.201
10,Expansion+Mat80+Mat100,Hybrid,1,63,22.007,17.376
1,Hybrid,Hybrid+Mat100,1,57,31.242,27.074
2,Hybrid+Mat100,Hybrid,1,57,21.345,16.116
3,Hybrid,Hybrid+Mat100,1,57,31.478,26.986
4,Hybrid+Mat100,Hybrid,1,57,21.370,16.091
5,Hybrid,Hybrid+Mat100,1,57,31.141,26.986
6,Hybrid+Mat100,Hybrid,1,57,21.897,16.250
7,Hybrid,Hybrid+Mat100,1,57,31.031,26.395
8,Hybrid+Mat100,Hybrid,1,57,21.621,16.563
9,Hybrid,Hybrid+Mat100,1,57,31.330,26.855
10,Hybrid+Mat100,Hybrid,1,57,21.183,16.157
1,Hybrid,Material+Mat100,1,69,18.037,9.375
2,Material+Mat100,Hybrid,2,200,5.375,24.274
3,Hybrid,Material+Mat100,1,69,18.357,9.711
4,Material+Mat100,Hybrid,2,200,5.118,23.876
5,Hybrid,Material+Mat100,1,69,18.225,9.411
6,Material+Mat100,Hybrid,2,200,5.089,23.530
7,Hybrid,Material+Mat100,1,69,18.009,9.451
8,Material+Mat100,Hybrid,2,200,5.221,23.681
9,Hybrid,Material+Mat100,1,69,18.157,9.355
10,Material+Mat100,Hybrid,2,200,5.064,23.565
1,Material,Expansion+Mat120+Mat100,1,200,8.952,3.998
2,Expansion+Mat120+Mat100,Material,1,200,29.808,2.889
3,Material,Expansion+Mat120+Mat100,1,200,8.492,3.596
4,Expansion+Mat120+Mat100,Material,1,200,29.733,2.868
5,Material,Expansion+Mat120+Mat100,1,200,8.545,3.679
6,Expansion+Mat120+Mat100,Material,1,200,29.604,2.826
7,Material,Expansion+Mat120+Mat100,1,200,8.349,3.565
8,Expansion+Mat120+Mat100,Material,1,200,28.867,2.804
9,Material,Expansion+Mat120+Mat100,1,200,8.455,3.655
10,Expansion+Mat120+Mat100,Material,1,200,28.729,2.847
1,Material,Expansion+Mat80+Mat100,1,200,8.724,3.712
2,Expansion+Mat80+Mat100,Material,1,200,28.830,2.844
3,Material,Expansion+Mat80+Mat100,1,200,8.526,3.626
4,Expansion+Mat80+Mat100,Material,1,200,29.292,2.888
5,Material,Expansion+Mat80+Mat100,1,200,8.482,3.579
6,Expansion+Mat80+Mat100,Material,1,200,29.520,2.845
7,Material,Expansion+Mat80+Mat100,1,200,8.622,3.769
8,Expansion+Mat80+Mat100,Material,1,200,28.976,2.957
9,Material,Expansion+Mat80+Mat100,1,200,8.778,3.700
10,Expansion+Mat80+Mat100,Material,1,200,28.914,2.843
1,Material,Hybrid+Mat100,1,200,5.429,7.172
2,Hybrid+Mat100,Material,2,60,14.350,9.321
3,Material,Hybrid+Mat100,1,200,5.370,7.055
4,Hybrid+Mat100,Material,2,60,14.317,9.282
5,Material,Hybrid+Mat100,1,200,5.278,7.072
6,Hybrid+Mat100,Material,2,60,14.389,9.268
7,Material,Hybrid+Mat100,1,200,5.239,7.081
8,Hybrid+Mat100,Material,2,60,14.379,9.291
9,Material,Hybrid+Mat100,1,200,5.262,7.118
10,Hybrid+Mat100,Material,2,60,15.044,9.667
1,Material,Material+Mat100,2,62,16.796,13.517
2,Material+Mat100,Material,2,62,17.567,13.457
3,Material,Material+Mat100,2,62,16.756,13.599
4,Material+Mat100,Material,2,62,16.830,13.320
5,Material,Material+Mat100,2,62,16.987,13.832
6,Material+Mat100,Material,2,62,16.909,13.485
7,Material,Material+Mat100,2,62,17.221,14.033
8,Material+Mat100,Material,2,62,16.806,13.419
9,Material,Material+Mat100,2,62,16.643,13.544
10,Material+Mat100,Material,2,62,17.456,13.414
1,Expansion+Mat120+Mat100,Expansion+Mat80+Mat100,1,71,30.928,23.232
2,Expansion+Mat80+Mat100,Expansion+Mat120+Mat100,1,71,31.026,23.208
3,Expansion+Mat120+Mat100,Expansion+Mat80+Mat100,1,71,30.965,23.113
4,Expansion+Mat80+Mat100,Expansion+Mat120+Mat100,1,71,30.783,23.155
5,Expansion+Mat120+Mat100,Expansion+Mat80+Mat100,1,71,30.941,23.022
6,Expansion+Mat80+Mat100,Expansion+Mat120+Mat100,1,71,30.800,23.281
